datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2010-08-18,3615.0,99029.5,6.5,102644.5,0.000146156806766,1.026445,0.003
2010-08-19,3570.0,99029.5,6.5,102599.5,-0.000438406344227,1.025995,0.00345
2010-08-20,3566.0,99029.5,6.5,102595.5,-3.89865447687e-05,1.025955,0.00349
2010-08-23,3511.0,99029.5,6.5,102540.5,-0.000536085890707,1.025405,0.00404
2010-08-24,3428.0,99029.5,6.5,102457.5,-0.000809436271522,1.024575,0.00487
2010-08-25,3470.0,99029.5,6.5,102499.5,0.000409926066906,1.024995,0.00445
2010-08-26,3433.0,99029.5,6.5,102462.5,-0.000360977370621,1.024625,0.00482
2010-08-27,3452.0,99029.5,6.5,102481.5,0.000185433695254,1.024815,0.00463
2010-08-30,3464.0,99029.5,6.5,102493.5,0.000117094304826,1.024935,0.00451
2010-08-31,3473.0,99029.5,6.5,102502.5,8.78104465161e-05,1.025025,0.00442
2010-09-01,3576.0,99029.5,6.5,102605.5,0.00100485354016,1.026055,0.00339
2010-09-02,3602.0,99029.5,6.5,102631.5,0.000253397722344,1.026315,0.00313
2010-09-03,3697.0,99029.5,6.5,102726.5,0.000925641737673,1.027265,0.00218
2010-09-07,3683.0,99029.5,6.5,102712.5,-0.000136284210987,1.027125,0.00232
2010-09-08,3756.0,99029.5,6.5,102785.5,0.000710721674577,1.027855,0.00159
2010-09-09,3758.0,99029.5,6.5,102787.5,1.94579974802e-05,1.027875,0.00157
2010-09-10,3763.0,99029.5,6.5,102792.5,4.86440471847e-05,1.027925,0.00152
2010-09-13,3815.0,99029.5,6.5,102844.5,0.000505873482987,1.028445,0.001
2010-09-14,3829.0,99029.5,6.5,102858.5,0.000136127843492,1.028585,0.000860000000001
2010-09-15,3860.0,99029.5,6.5,102889.5,0.000301384912282,1.028895,0.000550000000001
2010-09-16,3951.0,99029.5,6.5,102980.5,0.000884443990883,1.029805,0.0
2010-09-17,3934.0,99029.5,6.5,102963.5,-0.000165079796661,1.029635,0.00017
2010-09-20,4046.0,99029.5,6.5,103075.5,0.00108776411058,1.030755,0.0
2010-09-21,4054.0,99029.5,6.5,103083.5,7.76130118214e-05,1.030835,0.0
2010-09-22,4111.0,99029.5,6.5,103140.5,0.000552949793129,1.031405,0.0
2010-09-23,4127.0,99029.5,6.5,103156.5,0.000155128198913,1.031565,0.0
2010-09-24,4176.0,99029.5,6.5,103205.5,0.000475006422281,1.032055,0.0
2010-09-27,4160.0,99029.5,6.5,103189.5,-0.000155030497406,1.031895,0.00016
